'pu?N((&k'		'00'	'4'	'03'	'350016'	'1'	'КРАСНОДАР'	'УЛ.ОРДЖОНИКИДЗЕ,39'	'040349001'	'ГРКЦ ГУ БАНКА РОССИИ ПО КРАСНОДАРСКОМУ КР.'	'ГУ БАНКА РОССИИ ПО КРАСНОДАРСК'	'040349001'		'141000'	'02'		'211466'	'(861)2622223,2622477'		'53418774'	02.07.07			20.01.94		
'*z$qMj9f'		'32'	'2'	'03'	'350000'	'1'	'КРАСНОДАР'	'УЛ.ГИМНАЗИЧЕСКАЯ,65'	'040349001'	'КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N 8619'	'КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N 8619'	'040349602'	'600164002'	'141000'	'01'			'(861)2621230,2625472'	'1481/638'	'09142003'	25.04.07		'30101810100000000602'	20.01.94		
'vE6QR&Sp'		'30'	'2'	'03'	'350063'	'1'	'КРАСНОДАР'	'УЛ.ОКТЯБРЬСКАЯ,44'	'040349001'	'Ф.КРАСНОДАРСКИЙ ОАО "БАНК ВТБ СЕВЕРО-ЗАПАД"'	'БАНК ВТБ СЕВЕРО-ЗАПАД'	'040349712'	'700161112'	'141000'	'01'			'(861)2750204'	'439/31'	'33707944'	24.07.07		'30101810100000000712'	20.01.94		
'GNq!GSTs'		'20'	'2'	'03'	'350015'	'1'	'КРАСНОДАР'	'УЛ.КРАСНАЯ,152'	'040349001'	'ОАО АКБ "УРАЛСИБ-ЮГ БАНК"'	'УРАЛСИБ-ЮГ БАНК'	'040349713'	'700161413'	'141000'	'01'	'211281'		'(861)2752316,2556777'	'457'	'09801227'	27.11.06		'30101810400000000713'	20.01.94		
'YKz=MdPj'		'20'	'2'	'03'	'350020'	'1'	'КРАСНОДАР'	'УЛ.КРАСНАЯ,139'	'040349001'	'БАНК "ПЕРВОМАЙСКИЙ" (ЗАО)'	'ПЕРВОМАЙСКИЙ'	'040349715'	'700161015'	'141185'	'01'			'(861)2791410'	'518'	'09306717'	06.02.06		'30101810000000000715'	20.01.94		
'#Rqo2Kgh'		'20'	'2'	'03'	'350063'	'1'	'КРАСНОДАР'	'УЛ.МИРА,35'	'040349001'	'ЗАО "КУБАНЬТОРГБАНК"'	'КУБАНЬТОРГБАНК'	'040349718'	'700161918'	'141840'	'01'	'211317'		'(861)2683108,2109822'	'478'	'20702891'	29.11.04		'30101810900000000718'	20.01.94		
'sYnGc-N$'		'20'	'2'	'03'	'350000'	'1'	'КРАСНОДАР'	'УЛ.ОРДЖОНИКИДЗЕ,46'	'040349001'	'КБ "КУБАНЬ КРЕДИТ" ООО'	'КУБАНЬ КРЕДИТ'	'040349722'	'700161222'	'141000'	'00'			'(861)2748874,2748880'	'2518'	'32293624'	18.01.06		'30101810200000000722'	20.01.94		
'P7$YWtPv'		'20'	'2'	'03'	'350063'	'1'	'КРАСНОДАР'	'УЛ.ПУШКИНА,36'	'040349001'	'КБ "КУБАНСКИЙ УНИВЕРСАЛЬНЫЙ БАНК" (ООО)'	'КУБАНСКИЙ УНИВЕРСАЛЬНЫЙ БАНК'	'040349745'	'700161345'	'141000'	'01'			'(861)2681839,2681939'	'2898'	'34995856'	29.11.04		'30101810300000000745'	28.02.95		
'dM5KlI=8'		'20'	'2'	'03'	'350080'	'1'	'КРАСНОДАР'	'УЛ.УРАЛЬСКАЯ,97'	'040349001'	'ОАО АБ "КУБАНЬБАНК"'	'КУБАНЬБАНК'	'040349772'	'700161772'	'141000'	'01'	'211251'		'(861)2199466,2199470'	'430'	'09804964'	07.12.05		'30101810700000000772'	20.01.94		
'jSW<dG4T'		'30'	'2'	'03'	'350051'	'1'	'КРАСНОДАР'	'УЛ.ДЗЕРЖИНСКОГО,36'	'040349001'	'ФИЛИАЛ АБ "ГАЗПРОМБАНК"(ЗАО) В Г.КРАСНОДАРЕ'	'ГАЗПРОМБАНК'	'040349781'	'700161581'	'141000'	'00'			'(861)2151884,2151887'	'354/2'	'31371888'	06.12.04		'30101810500000000781'	20.01.94		
